,date,newCasesBySpecimenDate,newAdmissions,casesshifted,ratio,average,0-64,65+,0-64admissions,65+admissions,0-64admissionsnew,65+admissionsnew,casesshifted0-64,ratio0-64,average0-64,casesshifted65+,ratio65+,average65+
31,2021-09-12,17511,658.0,29975.0,2.195162635529608,2.586929076954869,15103.0,1358.0,182669.0,268971.0,321.0,337.0,24756.0,12.96655356277266,14.681377975941853,1677.0,200.9540846750149,216.50723988041497
32,2021-09-11,16597,649.0,30935.0,2.097947308873444,2.8433449060093765,13972.0,1502.0,182348.0,268634.0,302.0,345.0,26496.0,11.397946859903382,15.896975546441427,1717.0,200.93185789167154,228.75695682054774
33,2021-09-10,20527,680.0,32860.0,2.069385270846013,2.9886813757297737,17187.0,1971.0,182046.0,268289.0,345.0,331.0,27912.0,12.360275150472914,16.601774421043956,1748.0,189.35926773455378,235.23197078856865
34,2021-09-09,23904,790.0,24402.0,3.237439554134907,3.139634349762735,20009.0,2186.0,181701.0,267958.0,419.0,368.0,21546.0,19.446765060800146,17.81599191352293,1363.0,269.9926632428467,244.52492757325467
35,2021-09-08,25061,900.0,18734.0,4.804099498238497,3.207264240391542,21000.0,2239.0,181282.0,267590.0,451.0,449.0,17953.0,25.121149668579065,18.648656571200707,1338.0,335.575485799701,246.12571471684927
36,2021-09-07,27346,801.0,19684.0,4.069294858768543,3.3019644554320067,23123.0,2351.0,180831.0,267141.0,393.0,408.0,18904.0,20.78925095217943,19.991254856897886,1598.0,255.3191489361702,247.63109702520754
37,2021-09-06,32371,831.0,23715.0,3.5041113219481343,3.363104891815298,27548.0,2588.0,180438.0,266733.0,423.0,408.0,18692.0,22.63000213995292,20.658722849352223,1572.0,259.5419847328244,245.09947105221414
38,2021-09-05,22963,691.0,25894.0,2.668571869931258,3.2801146851879763,19372.0,1924.0,180015.0,266325.0,356.0,335.0,18941.0,18.79520616651708,21.92900507603127,1579.0,212.15959468017735,244.39990901941533
39,2021-09-04,22969,752.0,27238.0,2.760848814156693,3.1371833820479584,19380.0,1964.0,179659.0,265990.0,396.0,354.0,19042.0,20.79613485978364,22.920859160021838,1674.0,211.46953405017922,233.26861934173306
40,2021-09-03,28111,688.0,27549.0,2.4973683255290573,3.07069093323981,23850.0,2361.0,179263.0,265636.0,360.0,328.0,21136.0,17.032551097653293,23.450288744549113,1911.0,171.6378859236002,224.04675643289843
41,2021-09-02,29975,788.0,29663.0,2.6565081077436536,3.0317440247794996,25486.0,2374.0,178903.0,265308.0,428.0,360.0,15103.0,28.338740647553468,23.387433366481257,1358.0,265.0957290132548,210.7570702071793
42,2021-09-01,30935,835.0,21953.0,3.8035803762583704,3.0031972572565553,26442.0,2290.0,178475.0,264948.0,448.0,387.0,13972.0,32.06412825651302,23.28743792772712,1502.0,257.6564580559254,200.92963879718016
43,2021-08-31,32860,798.0,22143.0,3.6038477171115026,2.929001772323597,27801.0,2735.0,178027.0,264561.0,421.0,376.0,17187.0,24.49525804387037,22.627186067410072,1971.0,190.76610857432775,189.79973209778342
44,2021-08-30,24402,808.0,25004.0,3.2314829627259636,2.925044153825626,20384.0,2194.0,177606.0,264185.0,444.0,364.0,20009.0,22.190014493477936,22.36160952756195,2186.0,166.51418115279048,183.5511756410448
45,2021-08-29,18734,701.0,28395.0,2.4687444972706465,2.91376326427781,15539.0,1802.0,177162.0,263821.0,380.0,321.0,21000.0,18.095238095238095,21.40309736107419,2239.0,143.3675748101831,172.2618837921064
46,2021-08-28,19684,688.0,30694.0,2.2414804196259857,2.948239135180627,16484.0,1718.0,176782.0,263500.0,374.0,314.0,23123.0,16.17437183756433,20.169109408757944,2351.0,133.56018715440237,163.74884308641558
47,2021-08-27,23715,749.0,30328.0,2.46966499604326,2.9922347109027787,19717.0,2230.0,176408.0,263186.0,418.0,331.0,27548.0,15.173515318716422,19.443072245857024,2588.0,127.89799072642968,157.9765442817936
48,2021-08-26,25894,777.0,30145.0,2.57754188090894,3.0159744729300932,21536.0,2358.0,175990.0,262855.0,419.0,358.0,19372.0,21.62915548213917,18.8851485152891,1924.0,186.0706860706861,156.15293939211224
49,2021-08-25,27238,843.0,20841.0,4.044911472578091,3.0464162092867966,22795.0,2367.0,175571.0,262497.0,454.0,389.0,19380.0,23.426212590299276,18.46658126992034,1964.0,198.06517311608962,155.9463426163593
50,2021-08-24,27549,818.0,20911.0,3.9118167471665632,3.1057465631260697,23185.0,2394.0,175117.0,262108.0,463.0,355.0,23850.0,19.41299790356394,18.211381243939126,2361.0,150.36001694197373,155.51348224199052
51,2021-08-23,29663,831.0,24458.0,3.397661296917164,3.1409691675282287,24685.0,2761.0,174654.0,261753.0,466.0,365.0,25486.0,18.28454837950247,18.938163199978067,2374.0,153.74894692502104,158.07838706984657
52,2021-08-22,21953,726.0,27071.0,2.6818366517675742,3.198771430455505,18549.0,1815.0,174188.0,261388.0,401.0,325.0,26442.0,15.165267377656757,20.4266258971827,2290.0,141.92139737991266,157.34116047246457
53,2021-08-21,22143,757.0,28493.0,2.6567928965008947,3.1973146149018925,18874.0,1765.0,173787.0,261063.0,400.0,357.0,27801.0,14.38797165569584,20.945244052116546,2735.0,130.53016453382085,158.06659142095603
54,2021-08-20,25004,733.0,26986.0,2.716223226858371,3.2481325167223436,21221.0,1978.0,173387.0,260706.0,413.0,320.0,20384.0,20.26098901098901,21.613513785525928,2194.0,145.85232452142205,159.45654415762473
