,Date,Evening Blend,Lunchtime
185,27/10/2021,121381,104566
186,28/10/2021,138997,104541
187,29/10/2021,138940,104551
188,03/11/2021,120772,103875
189,04/11/2021,120807,103907
190,05/11/2021,120844,103931
191,08/11/2021,120508,103860
192,09/11/2021,120472,103869
193,10/11/2021,120459,103861
194,11/11/2021,120436,103834
195,15/11/2021,120110,103773
196,19/11/2021,120124,103280
197,01/12/2021,119810,102766
198,02/12/2021,119759,102764
199,03/12/2021,119711,102744
200,06/12/2021,119343,102600
201,07/12/2021,119310,102575
202,08/12/2021,119262,102530
203,10/12/2021,119331,102605
204,05/01/2022,118710,103705
205,06/01/2022,118547,103554
206,07/01/2022,118440,103463
207,08/01/2022,118525,103603
208,09/01/2022,118001,103412
209,10/01/2022,117967,103053
210,11/01/2022,117952,103001
211,12/01/2022,117985,102944
212,13/01/2022,118056,103027
213,14/01/2022,118091,103055
214,15/01/2022,118221,103186
215,16/01/2022,117759,103086
216,17/01/2022,117819,103128
217,18/01/2022,117807,103121
218,19/01/2022,117848,103136
219,20/01/2022,117897,103131
220,21/01/2022,117908,103122
221,22/01/2022,117953,103160
222,23/01/2022,117444,102890
223,24/01/2022,117461,102466
224,25/01/2022,117502,102456
225,26/01/2022,117462,102391
226,27/01/2022,117436,102329
227,28/01/2022,117555,102463
228,29/01/2022,117584,102500
229,30/01/2022,117036,102272
230,31/01/2022,117034,102225
231,01/02/2022,117005,102208
232,02/02/2022,117030,102189
233,03/02/2022,117062,102188
234,04/02/2022,117162,102289
235,05/02/2022,117262,102389
236,06/02/2022,116714,102140
237,07/02/2022,116693,101758
238,08/02/2022,116826,101873
239,09/02/2022,116821,101839
240,10/02/2022,116834,101816
241,11/02/2022,116847,101808
242,12/02/2022,116878,101841
243,13/02/2022,116336,101603
244,14/02/2022,116317,101582
245,15/02/2022,116274,101552
246,16/02/2022,116227,101532
247,17/02/2022,116246,101539
248,18/02/2022,116259,101550
249,19/02/2022,116290,101584
250,20/02/2022,115854,101316
251,21/02/2022,115937,100677
252,22/02/2022,115937,100675
253,23/02/2022,115977,100665
254,24/02/2022,115980,100686
255,25/02/2022,116185,101312
256,26/02/2022,116296,101388
257,27/02/2022,116028,101199
258,28/02/2022,116059,101205
259,01/03/2022,116105,101230
260,02/03/2022,116119,101241
261,03/03/2022,116123,101225
262,04/03/2022,116304,101266
263,05/03/2022,116381,101342
264,06/03/2022,115919,101106
265,07/03/2022,116011,101050
266,08/03/2022,116169,101185
267,09/03/2022,116165,101182
268,10/03/2022,116200,101221
269,11/03/2022,116257,101268
270,12/03/2022,116270,101256
271,13/03/2022,116389,101411
272,14/03/2022,116411,101377
273,15/03/2022,116419,101395
274,16/03/2022,116465,101444
275,17/03/2022,116838,101445
276,18/03/2022,116897,101470
277,19/03/2022,116992,101537
278,20/03/2022,117017,101595
279,21/03/2022,117018,101585
280,22/03/2022,116995,101589
281,23/03/2022,116958,101571
282,24/03/2022,116985,101582
283,25/03/2022,116981,101588
284,26/03/2022,117022,101636
285,27/03/2022,116952,101626
286,28/03/2022,117048,101671
287,29/03/2022,117049,101648
288,30/03/2022,117055,101616
289,31/03/2022,117068,101587
290,01/04/2022,117097,101604
291,02/04/2022,117162,101640
292,03/04/2022,117166,101669
293,05/04/2022,117124,101612
294,06/04/2022,117096,101602
295,07/04/2022,117078,101601
296,09/04/2022,117273,101807
297,10/04/2022,117325,101914
298,11/04/2022,117361,101893
299,12/04/2022,117432,101908
300,13/04/2022,117460,101930
301,14/04/2022,117529,101964
302,15/04/2022,117618,102041
303,16/04/2022,117694,102103
304,17/04/2022,117725,102119
305,18/04/2022,117839,102208
306,19/04/2022,117882,102223
307,20/04/2022,117891,102212
308,21/04/2022,117958,102256
309,22/04/2022,117994,102310
310,23/04/2022,118104,102411
311,24/04/2022,118182,102475
312,25/04/2022,118216,102453
313,26/05/2022,119556,103481
314,27/05/2022,119546,103491
315,28/05/2022,119621,103561
316,29/05/2022,119706,103626
317,30/05/2022,119758,103690
318,31/05/2022,119876,103805
319,01/06/2022,119916,103885
320,02/06/2022,119969,103977
321,04/06/2022,120184,104224
