"","date","All ages","1-4","5-14","15-24","25-44","45-64","65-74","75+"
"315",2020-12-27,0.014099239282205,2020-12-27,2020-12-27,2020-12-27,2020-12-27,2020-12-27,2020-12-27,2020-12-27
"316",2020-12-28,0.0144600449564835,2020-12-28,2020-12-28,2020-12-28,2020-12-28,2020-12-28,2020-12-28,2020-12-28
"317",2020-12-29,0.0147418861217676,2020-12-29,2020-12-29,2020-12-29,2020-12-29,2020-12-29,2020-12-29,2020-12-29
"318",2020-12-30,0.0150092636139142,2020-12-30,2020-12-30,2020-12-30,2020-12-30,2020-12-30,2020-12-30,2020-12-30
"319",2020-12-31,0.0153635290221933,2020-12-31,2020-12-31,2020-12-31,2020-12-31,2020-12-31,2020-12-31,2020-12-31
"320",2021-01-01,0.015710333235375,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01
"321",2021-01-02,0.0160509037508863,2021-01-02,2021-01-02,2021-01-02,2021-01-02,2021-01-02,2021-01-02,2021-01-02
"322",2021-01-03,0.0163992509772661,2021-01-03,2021-01-03,2021-01-03,2021-01-03,2021-01-03,2021-01-03,2021-01-03
"323",2021-01-04,0.0167493671809396,2021-01-04,2021-01-04,2021-01-04,2021-01-04,2021-01-04,2021-01-04,2021-01-04
"324",2021-01-05,0.0160776170957782,2021-01-05,2021-01-05,2021-01-05,2021-01-05,2021-01-05,2021-01-05,2021-01-05
"325",2021-01-06,0.0152847345450763,2021-01-06,2021-01-06,2021-01-06,2021-01-06,2021-01-06,2021-01-06,2021-01-06
"326",2021-01-07,0.0154486263198493,2021-01-07,2021-01-07,2021-01-07,2021-01-07,2021-01-07,2021-01-07,2021-01-07
"327",2021-01-08,0.0155814999533483,2021-01-08,2021-01-08,2021-01-08,2021-01-08,2021-01-08,2021-01-08,2021-01-08
"328",2021-01-09,0.0156922858381296,2021-01-09,2021-01-09,2021-01-09,2021-01-09,2021-01-09,2021-01-09,2021-01-09
"329",2021-01-10,0.0157657648461794,2021-01-10,2021-01-10,2021-01-10,2021-01-10,2021-01-10,2021-01-10,2021-01-10
"330",2021-01-11,0.0158647265447116,2021-01-11,2021-01-11,2021-01-11,2021-01-11,2021-01-11,2021-01-11,2021-01-11
"331",2021-01-12,0.0153050840230304,2021-01-12,2021-01-12,2021-01-12,2021-01-12,2021-01-12,2021-01-12,2021-01-12
"332",2021-01-13,0.0146582793144544,2021-01-13,2021-01-13,2021-01-13,2021-01-13,2021-01-13,2021-01-13,2021-01-13
"333",2021-01-14,0.0147676682816131,2021-01-14,2021-01-14,2021-01-14,2021-01-14,2021-01-14,2021-01-14,2021-01-14
"334",2021-01-15,0.0149031271239719,2021-01-15,2021-01-15,2021-01-15,2021-01-15,2021-01-15,2021-01-15,2021-01-15
"335",2021-01-16,0.0150395595465475,2021-01-16,2021-01-16,2021-01-16,2021-01-16,2021-01-16,2021-01-16,2021-01-16
"336",2021-01-17,0.0151669077909228,2021-01-17,2021-01-17,2021-01-17,2021-01-17,2021-01-17,2021-01-17,2021-01-17
"337",2021-01-18,0.0153054302071485,2021-01-18,2021-01-18,2021-01-18,2021-01-18,2021-01-18,2021-01-18,2021-01-18
"338",2021-01-19,0.0149762090581565,2021-01-19,2021-01-19,2021-01-19,2021-01-19,2021-01-19,2021-01-19,2021-01-19
"339",2021-01-20,0.0145049013094024,2021-01-20,2021-01-20,2021-01-20,2021-01-20,2021-01-20,2021-01-20,2021-01-20
"340",2021-01-21,0.0145710937998371,2021-01-21,2021-01-21,2021-01-21,2021-01-21,2021-01-21,2021-01-21,2021-01-21
"341",2021-01-22,0.0146601367399099,2021-01-22,2021-01-22,2021-01-22,2021-01-22,2021-01-22,2021-01-22,2021-01-22
"342",2021-01-23,0.0147758155082092,2021-01-23,2021-01-23,2021-01-23,2021-01-23,2021-01-23,2021-01-23,2021-01-23
"343",2021-01-24,0.0148884975369571,2021-01-24,2021-01-24,2021-01-24,2021-01-24,2021-01-24,2021-01-24,2021-01-24
"344",2021-01-25,0.0150193566688728,2021-01-25,2021-01-25,2021-01-25,2021-01-25,2021-01-25,2021-01-25,2021-01-25
"345",2021-01-26,0.014812602544056,2021-01-26,2021-01-26,2021-01-26,2021-01-26,2021-01-26,2021-01-26,2021-01-26
"346",2021-01-27,0.0145920938552245,2021-01-27,2021-01-27,2021-01-27,2021-01-27,2021-01-27,2021-01-27,2021-01-27
"347",2021-01-28,0.0144170567608205,2021-01-28,2021-01-28,2021-01-28,2021-01-28,2021-01-28,2021-01-28,2021-01-28
"348",2021-01-29,0.0141198234231562,2021-01-29,2021-01-29,2021-01-29,2021-01-29,2021-01-29,2021-01-29,2021-01-29
"349",2021-01-30,0.0137907424044941,2021-01-30,2021-01-30,2021-01-30,2021-01-30,2021-01-30,2021-01-30,2021-01-30
"350",2021-01-31,0.0135265949612771,2021-01-31,2021-01-31,2021-01-31,2021-01-31,2021-01-31,2021-01-31,2021-01-31
"351",2021-02-01,0.0133775638642273,2021-02-01,2021-02-01,2021-02-01,2021-02-01,2021-02-01,2021-02-01,2021-02-01
"352",2021-02-02,0.0130902648122408,2021-02-02,2021-02-02,2021-02-02,2021-02-02,2021-02-02,2021-02-02,2021-02-02
"353",2021-02-03,0.0127006644929099,2021-02-03,2021-02-03,2021-02-03,2021-02-03,2021-02-03,2021-02-03,2021-02-03
"354",2021-02-04,0.0124123958046899,2021-02-04,2021-02-04,2021-02-04,2021-02-04,2021-02-04,2021-02-04,2021-02-04
"355",2021-02-05,0.0120824429754961,2021-02-05,2021-02-05,2021-02-05,2021-02-05,2021-02-05,2021-02-05,2021-02-05
"356",2021-02-06,0.0117218009713153,2021-02-06,2021-02-06,2021-02-06,2021-02-06,2021-02-06,2021-02-06,2021-02-06
"357",2021-02-07,0.0114206613014679,2021-02-07,2021-02-07,2021-02-07,2021-02-07,2021-02-07,2021-02-07,2021-02-07
"358",2021-02-08,0.0112533338463359,2021-02-08,2021-02-08,2021-02-08,2021-02-08,2021-02-08,2021-02-08,2021-02-08
"359",2021-02-09,0.0114145000979042,2021-02-09,2021-02-09,2021-02-09,2021-02-09,2021-02-09,2021-02-09,2021-02-09
"360",2021-02-10,0.0114146918088824,2021-02-10,2021-02-10,2021-02-10,2021-02-10,2021-02-10,2021-02-10,2021-02-10
"361",2021-02-11,0.0110639107198509,2021-02-11,2021-02-11,2021-02-11,2021-02-11,2021-02-11,2021-02-11,2021-02-11
"362",2021-02-12,0.0106586829540372,2021-02-12,2021-02-12,2021-02-12,2021-02-12,2021-02-12,2021-02-12,2021-02-12
"363",2021-02-13,0.0101734182569209,2021-02-13,2021-02-13,2021-02-13,2021-02-13,2021-02-13,2021-02-13,2021-02-13
"364",2021-02-14,0.00978463475418742,2021-02-14,2021-02-14,2021-02-14,2021-02-14,2021-02-14,2021-02-14,2021-02-14
"365",2021-02-15,0.00962078072563636,2021-02-15,2021-02-15,2021-02-15,2021-02-15,2021-02-15,2021-02-15,2021-02-15
"366",2021-02-16,0.00988846657738945,2021-02-16,2021-02-16,2021-02-16,2021-02-16,2021-02-16,2021-02-16,2021-02-16
"367",2021-02-17,0.0101108293240614,2021-02-17,2021-02-17,2021-02-17,2021-02-17,2021-02-17,2021-02-17,2021-02-17
"368",2021-02-18,0.00988932119402621,2021-02-18,2021-02-18,2021-02-18,2021-02-18,2021-02-18,2021-02-18,2021-02-18
"369",2021-02-19,0.00954092863492266,2021-02-19,2021-02-19,2021-02-19,2021-02-19,2021-02-19,2021-02-19,2021-02-19
"370",2021-02-20,0.00910423720196028,2021-02-20,2021-02-20,2021-02-20,2021-02-20,2021-02-20,2021-02-20,2021-02-20
"371",2021-02-21,0.00876148643335311,2021-02-21,2021-02-21,2021-02-21,2021-02-21,2021-02-21,2021-02-21,2021-02-21
"372",2021-02-22,0.00856327144244131,2021-02-22,2021-02-22,2021-02-22,2021-02-22,2021-02-22,2021-02-22,2021-02-22
"373",2021-02-23,0.00873424956162389,2021-02-23,2021-02-23,2021-02-23,2021-02-23,2021-02-23,2021-02-23,2021-02-23
"374",2021-02-24,0.00888483902168456,2021-02-24,2021-02-24,2021-02-24,2021-02-24,2021-02-24,2021-02-24,2021-02-24
"375",2021-02-25,0.00868574022885336,2021-02-25,2021-02-25,2021-02-25,2021-02-25,2021-02-25,2021-02-25,2021-02-25
"376",2021-02-26,0.00849835320989013,2021-02-26,2021-02-26,2021-02-26,2021-02-26,2021-02-26,2021-02-26,2021-02-26
"377",2021-02-27,0.00831946551499045,2021-02-27,2021-02-27,2021-02-27,2021-02-27,2021-02-27,2021-02-27,2021-02-27
"378",2021-02-28,0.00816376399665359,2021-02-28,2021-02-28,2021-02-28,2021-02-28,2021-02-28,2021-02-28,2021-02-28
"379",2021-03-01,0.00807555790610902,2021-03-01,2021-03-01,2021-03-01,2021-03-01,2021-03-01,2021-03-01,2021-03-01
"380",2021-03-02,0.0078974636176784,2021-03-02,2021-03-02,2021-03-02,2021-03-02,2021-03-02,2021-03-02,2021-03-02
"381",2021-03-03,0.00770225481257557,2021-03-03,2021-03-03,2021-03-03,2021-03-03,2021-03-03,2021-03-03,2021-03-03
"382",2021-03-04,0.00756315955546362,2021-03-04,2021-03-04,2021-03-04,2021-03-04,2021-03-04,2021-03-04,2021-03-04
"383",2021-03-05,0.00741185436365639,2021-03-05,2021-03-05,2021-03-05,2021-03-05,2021-03-05,2021-03-05,2021-03-05
"384",2021-03-06,0.00725637529754549,2021-03-06,2021-03-06,2021-03-06,2021-03-06,2021-03-06,2021-03-06,2021-03-06
"385",2021-03-07,0.00712789069341055,2021-03-07,2021-03-07,2021-03-07,2021-03-07,2021-03-07,2021-03-07,2021-03-07
"386",2021-03-08,0.00706013332289124,2021-03-08,2021-03-08,2021-03-08,2021-03-08,2021-03-08,2021-03-08,2021-03-08
"387",2021-03-09,0.00661457733292378,2021-03-09,2021-03-09,2021-03-09,2021-03-09,2021-03-09,2021-03-09,2021-03-09
"388",2021-03-10,0.00620715726268096,2021-03-10,2021-03-10,2021-03-10,2021-03-10,2021-03-10,2021-03-10,2021-03-10
"389",2021-03-11,0.00611614271027785,2021-03-11,2021-03-11,2021-03-11,2021-03-11,2021-03-11,2021-03-11,2021-03-11
"390",2021-03-12,0.00602659673962223,2021-03-12,2021-03-12,2021-03-12,2021-03-12,2021-03-12,2021-03-12,2021-03-12
"391",2021-03-13,0.00594282095202885,2021-03-13,2021-03-13,2021-03-13,2021-03-13,2021-03-13,2021-03-13,2021-03-13
"392",2021-03-14,0.00586609138263243,2021-03-14,2021-03-14,2021-03-14,2021-03-14,2021-03-14,2021-03-14,2021-03-14
"393",2021-03-15,0.00580731342484376,2021-03-15,2021-03-15,2021-03-15,2021-03-15,2021-03-15,2021-03-15,2021-03-15
"394",2021-03-16,0.00562718463562408,2021-03-16,2021-03-16,2021-03-16,2021-03-16,2021-03-16,2021-03-16,2021-03-16
"395",2021-03-17,0.00544253985939005,2021-03-17,2021-03-17,2021-03-17,2021-03-17,2021-03-17,2021-03-17,2021-03-17
"396",2021-03-18,0.00537432881315542,2021-03-18,2021-03-18,2021-03-18,2021-03-18,2021-03-18,2021-03-18,2021-03-18
"397",2021-03-19,0.00530595649008028,2021-03-19,2021-03-19,2021-03-19,2021-03-19,2021-03-19,2021-03-19,2021-03-19
"398",2021-03-20,0.00524154508904624,2021-03-20,2021-03-20,2021-03-20,2021-03-20,2021-03-20,2021-03-20,2021-03-20
"399",2021-03-21,0.00518895597068096,2021-03-21,2021-03-21,2021-03-21,2021-03-21,2021-03-21,2021-03-21,2021-03-21
"400",2021-03-22,0.00514970234118903,2021-03-22,2021-03-22,2021-03-22,2021-03-22,2021-03-22,2021-03-22,2021-03-22
"401",2021-03-23,0.00507674622672438,2021-03-23,2021-03-23,2021-03-23,2021-03-23,2021-03-23,2021-03-23,2021-03-23
"402",2021-03-24,0.00499816653552744,2021-03-24,2021-03-24,2021-03-24,2021-03-24,2021-03-24,2021-03-24,2021-03-24
"403",2021-03-25,0.00494951216425253,2021-03-25,2021-03-25,2021-03-25,2021-03-25,2021-03-25,2021-03-25,2021-03-25
"404",2021-03-26,0.00489807565491164,2021-03-26,2021-03-26,2021-03-26,2021-03-26,2021-03-26,2021-03-26,2021-03-26
"405",2021-03-27,0.0048521232167191,2021-03-27,2021-03-27,2021-03-27,2021-03-27,2021-03-27,2021-03-27,2021-03-27
"406",2021-03-28,0.00481691777116284,2021-03-28,2021-03-28,2021-03-28,2021-03-28,2021-03-28,2021-03-28,2021-03-28
"407",2021-03-29,0.00479292473816038,2021-03-29,2021-03-29,2021-03-29,2021-03-29,2021-03-29,2021-03-29,2021-03-29
"408",2021-03-30,0.00511472161318654,2021-03-30,2021-03-30,2021-03-30,2021-03-30,2021-03-30,2021-03-30,2021-03-30
"409",2021-03-31,0.00546428017936807,2021-03-31,2021-03-31,2021-03-31,2021-03-31,2021-03-31,2021-03-31,2021-03-31
"410",2021-04-01,0.00542800647449939,2021-04-01,2021-04-01,2021-04-01,2021-04-01,2021-04-01,2021-04-01,2021-04-01
"411",2021-04-02,0.00540715758523381,2021-04-02,2021-04-02,2021-04-02,2021-04-02,2021-04-02,2021-04-02,2021-04-02
"412",2021-04-03,0.00538600420799401,2021-04-03,2021-04-03,2021-04-03,2021-04-03,2021-04-03,2021-04-03,2021-04-03
"413",2021-04-04,0.00537784653694698,2021-04-04,2021-04-04,2021-04-04,2021-04-04,2021-04-04,2021-04-04,2021-04-04
"414",2021-04-05,0.00538372539797932,2021-04-05,2021-04-05,2021-04-05,2021-04-05,2021-04-05,2021-04-05,2021-04-05
"415",2021-04-06,0.0054694096030345,2021-04-06,2021-04-06,2021-04-06,2021-04-06,2021-04-06,2021-04-06,2021-04-06
"416",2021-04-07,0.00554706739503887,2021-04-07,2021-04-07,2021-04-07,2021-04-07,2021-04-07,2021-04-07,2021-04-07
"417",2021-04-08,0.00551287745886138,2021-04-08,2021-04-08,2021-04-08,2021-04-08,2021-04-08,2021-04-08,2021-04-08
"418",2021-04-09,0.00547518259213386,2021-04-09,2021-04-09,2021-04-09,2021-04-09,2021-04-09,2021-04-09,2021-04-09
"419",2021-04-10,0.00543576348364796,2021-04-10,2021-04-10,2021-04-10,2021-04-10,2021-04-10,2021-04-10,2021-04-10
"420",2021-04-11,0.00526816997707784,2021-04-11,2021-04-11,2021-04-11,2021-04-11,2021-04-11,2021-04-11,2021-04-11
"421",2021-04-12,0.0051314808271026,2021-04-12,2021-04-12,2021-04-12,2021-04-12,2021-04-12,2021-04-12,2021-04-12
"422",2021-04-13,0.00523553128171771,2021-04-13,2021-04-13,2021-04-13,2021-04-13,2021-04-13,2021-04-13,2021-04-13
"423",2021-04-14,0.00524927275819021,2021-04-14,2021-04-14,2021-04-14,2021-04-14,2021-04-14,2021-04-14,2021-04-14
"424",2021-04-15,0.0050429957479714,2021-04-15,2021-04-15,2021-04-15,2021-04-15,2021-04-15,2021-04-15,2021-04-15
"425",2021-04-16,0.00484215066081027,2021-04-16,2021-04-16,2021-04-16,2021-04-16,2021-04-16,2021-04-16,2021-04-16
"426",2021-04-17,0.00465151972118845,2021-04-17,2021-04-17,2021-04-17,2021-04-17,2021-04-17,2021-04-17,2021-04-17
"427",2021-04-18,0.00447159712188163,2021-04-18,2021-04-18,2021-04-18,2021-04-18,2021-04-18,2021-04-18,2021-04-18
"428",2021-04-19,0.00433968627292741,2021-04-19,2021-04-19,2021-04-19,2021-04-19,2021-04-19,2021-04-19,2021-04-19
"429",2021-04-20,0.00403762808320188,2021-04-20,2021-04-20,2021-04-20,2021-04-20,2021-04-20,2021-04-20,2021-04-20
"430",2021-04-21,0.00371938588151575,2021-04-21,2021-04-21,2021-04-21,2021-04-21,2021-04-21,2021-04-21,2021-04-21
"431",2021-04-22,0.00351186891817754,2021-04-22,2021-04-22,2021-04-22,2021-04-22,2021-04-22,2021-04-22,2021-04-22
"432",2021-04-23,0.00330557448526354,2021-04-23,2021-04-23,2021-04-23,2021-04-23,2021-04-23,2021-04-23,2021-04-23
"433",2021-04-24,0.00315296438728221,2021-04-24,2021-04-24,2021-04-24,2021-04-24,2021-04-24,2021-04-24,2021-04-24
"434",2021-04-25,0.00302834678524741,2021-04-25,2021-04-25,2021-04-25,2021-04-25,2021-04-25,2021-04-25,2021-04-25
"435",2021-04-26,0.00293291311810896,2021-04-26,2021-04-26,2021-04-26,2021-04-26,2021-04-26,2021-04-26,2021-04-26
"436",2021-04-27,0.00283099169791991,2021-04-27,2021-04-27,2021-04-27,2021-04-27,2021-04-27,2021-04-27,2021-04-27
"437",2021-04-28,0.00270094574505589,2021-04-28,2021-04-28,2021-04-28,2021-04-28,2021-04-28,2021-04-28,2021-04-28
"438",2021-04-29,0.00252847903467689,2021-04-29,2021-04-29,2021-04-29,2021-04-29,2021-04-29,2021-04-29,2021-04-29
"439",2021-04-30,0.00235705763375331,2021-04-30,2021-04-30,2021-04-30,2021-04-30,2021-04-30,2021-04-30,2021-04-30
"440",2021-05-01,0.00218883036470073,2021-05-01,2021-05-01,2021-05-01,2021-05-01,2021-05-01,2021-05-01,2021-05-01
"441",2021-05-02,0.00203941804350656,2021-05-02,2021-05-02,2021-05-02,2021-05-02,2021-05-02,2021-05-02,2021-05-02
"442",2021-05-03,0.00194559548026192,2021-05-03,2021-05-03,2021-05-03,2021-05-03,2021-05-03,2021-05-03,2021-05-03
"443",2021-05-04,0.00187063186348903,2021-05-04,2021-05-04,2021-05-04,2021-05-04,2021-05-04,2021-05-04,2021-05-04
"444",2021-05-05,0.00179053065778436,2021-05-05,2021-05-05,2021-05-05,2021-05-05,2021-05-05,2021-05-05,2021-05-05
"445",2021-05-06,0.00168382472131123,2021-05-06,2021-05-06,2021-05-06,2021-05-06,2021-05-06,2021-05-06,2021-05-06
"446",2021-05-07,0.00156603133775524,2021-05-07,2021-05-07,2021-05-07,2021-05-07,2021-05-07,2021-05-07,2021-05-07
"447",2021-05-08,0.00144032790765817,2021-05-08,2021-05-08,2021-05-08,2021-05-08,2021-05-08,2021-05-08,2021-05-08
"448",2021-05-09,0.00133309980000113,2021-05-09,2021-05-09,2021-05-09,2021-05-09,2021-05-09,2021-05-09,2021-05-09
"449",2021-05-10,0.00126303348663013,2021-05-10,2021-05-10,2021-05-10,2021-05-10,2021-05-10,2021-05-10,2021-05-10
"450",2021-05-11,0.00126303808180679,2021-05-11,2021-05-11,2021-05-11,2021-05-11,2021-05-11,2021-05-11,2021-05-11
"451",2021-05-12,0.00111319847601455,2021-05-12,2021-05-12,2021-05-12,2021-05-12,2021-05-12,2021-05-12,2021-05-12
"452",2021-05-13,0.000943616517093161,2021-05-13,2021-05-13,2021-05-13,2021-05-13,2021-05-13,2021-05-13,2021-05-13
"453",2021-05-14,0.000923625012318436,2021-05-14,2021-05-14,2021-05-14,2021-05-14,2021-05-14,2021-05-14,2021-05-14
"454",2021-05-15,0.000902425999245341,2021-05-15,2021-05-15,2021-05-15,2021-05-15,2021-05-15,2021-05-15,2021-05-15
"455",2021-05-16,0.000883385444759507,2021-05-16,2021-05-16,2021-05-16,2021-05-16,2021-05-16,2021-05-16,2021-05-16
"456",2021-05-17,0.00087244638299506,2021-05-17,2021-05-17,2021-05-17,2021-05-17,2021-05-17,2021-05-17,2021-05-17
"457",2021-05-18,0.000874958754581943,2021-05-18,2021-05-18,2021-05-18,2021-05-18,2021-05-18,2021-05-18,2021-05-18
"458",2021-05-19,0.000876968300225168,2021-05-19,2021-05-19,2021-05-19,2021-05-19,2021-05-19,2021-05-19,2021-05-19
"459",2021-05-20,0.000863407861877573,2021-05-20,2021-05-20,2021-05-20,2021-05-20,2021-05-20,2021-05-20,2021-05-20
"460",2021-05-21,0.000851655687092454,2021-05-21,2021-05-21,2021-05-21,2021-05-21,2021-05-21,2021-05-21,2021-05-21
"461",2021-05-22,0.000842116217905681,2021-05-22,2021-05-22,2021-05-22,2021-05-22,2021-05-22,2021-05-22,2021-05-22
"462",2021-05-23,0.000835115466257959,2021-05-23,2021-05-23,2021-05-23,2021-05-23,2021-05-23,2021-05-23,2021-05-23
"463",2021-05-24,0.000832171812271051,2021-05-24,2021-05-24,2021-05-24,2021-05-24,2021-05-24,2021-05-24,2021-05-24
"464",2021-05-25,0.00084102511096917,2021-05-25,2021-05-25,2021-05-25,2021-05-25,2021-05-25,2021-05-25,2021-05-25
"465",2021-05-26,0.000846280889837644,2021-05-26,2021-05-26,2021-05-26,2021-05-26,2021-05-26,2021-05-26,2021-05-26
"466",2021-05-27,0.000839638741588947,2021-05-27,2021-05-27,2021-05-27,2021-05-27,2021-05-27,2021-05-27,2021-05-27
"467",2021-05-28,0.000832612354344032,2021-05-28,2021-05-28,2021-05-28,2021-05-28,2021-05-28,2021-05-28,2021-05-28
"468",2021-05-29,0.000825691920462402,2021-05-29,2021-05-29,2021-05-29,2021-05-29,2021-05-29,2021-05-29,2021-05-29
"469",2021-05-30,0.000821232445562524,2021-05-30,2021-05-30,2021-05-30,2021-05-30,2021-05-30,2021-05-30,2021-05-30
"470",2021-05-31,0.000818079472510919,2021-05-31,2021-05-31,2021-05-31,2021-05-31,2021-05-31,2021-05-31,2021-05-31
"471",2021-06-01,0.000848324638673847,2021-06-01,2021-06-01,2021-06-01,2021-06-01,2021-06-01,2021-06-01,2021-06-01
"472",2021-06-02,0.000877881543350255,2021-06-02,2021-06-02,2021-06-02,2021-06-02,2021-06-02,2021-06-02,2021-06-02
"473",2021-06-03,0.000872827808497786,2021-06-03,2021-06-03,2021-06-03,2021-06-03,2021-06-03,2021-06-03,2021-06-03
"474",2021-06-04,0.00087033817712241,2021-06-04,2021-06-04,2021-06-04,2021-06-04,2021-06-04,2021-06-04,2021-06-04
"475",2021-06-05,0.00086849948087877,2021-06-05,2021-06-05,2021-06-05,2021-06-05,2021-06-05,2021-06-05,2021-06-05
"476",2021-06-06,0.000867911613206208,2021-06-06,2021-06-06,2021-06-06,2021-06-06,2021-06-06,2021-06-06,2021-06-06
"477",2021-06-07,0.000868627558450233,2021-06-07,2021-06-07,2021-06-07,2021-06-07,2021-06-07,2021-06-07,2021-06-07
"478",2021-06-08,0.00082681469805035,2021-06-08,2021-06-08,2021-06-08,2021-06-08,2021-06-08,2021-06-08,2021-06-08
"479",2021-06-09,0.000787669923261647,2021-06-09,2021-06-09,2021-06-09,2021-06-09,2021-06-09,2021-06-09,2021-06-09
"480",2021-06-10,0.000786080315410404,2021-06-10,2021-06-10,2021-06-10,2021-06-10,2021-06-10,2021-06-10,2021-06-10
"481",2021-06-11,0.000782550228729783,2021-06-11,2021-06-11,2021-06-11,2021-06-11,2021-06-11,2021-06-11,2021-06-11
"482",2021-06-12,0.000778052374639878,2021-06-12,2021-06-12,2021-06-12,2021-06-12,2021-06-12,2021-06-12,2021-06-12
"483",2021-06-13,0.000773574893563878,2021-06-13,2021-06-13,2021-06-13,2021-06-13,2021-06-13,2021-06-13,2021-06-13
"484",2021-06-14,0.000769217547626769,2021-06-14,2021-06-14,2021-06-14,2021-06-14,2021-06-14,2021-06-14,2021-06-14
"485",2021-06-15,0.000772103503336995,2021-06-15,2021-06-15,2021-06-15,2021-06-15,2021-06-15,2021-06-15,2021-06-15
"486",2021-06-16,0.000774608610857487,2021-06-16,2021-06-16,2021-06-16,2021-06-16,2021-06-16,2021-06-16,2021-06-16
"487",2021-06-17,0.000770006240764172,2021-06-17,2021-06-17,2021-06-17,2021-06-17,2021-06-17,2021-06-17,2021-06-17
"488",2021-06-18,0.000766756470500944,2021-06-18,2021-06-18,2021-06-18,2021-06-18,2021-06-18,2021-06-18,2021-06-18
"489",2021-06-19,0.000763959746007978,2021-06-19,2021-06-19,2021-06-19,2021-06-19,2021-06-19,2021-06-19,2021-06-19
