date,0,magazine,unique page views,magazinepercentofviews,magazineaverage
2021-05-06,92726,35414,128140,27.63695957546434,13.164978302609674
2021-05-07,103815,12334,116149,10.619118546005561,12.24124590068748
2021-05-08,90501,8515,99016,8.599620263391774,11.651700770142705
2021-05-09,86956,5534,92490,5.983349551302843,11.014355671229847
2021-05-10,113065,5576,118641,4.699892954374963,10.148420494448755
2021-05-11,107261,3401,110662,3.073322369015561,9.235318820727414
2021-05-12,97956,4082,102038,4.000470412983399,9.230390524648348
2021-05-13,86947,45400,132347,34.3037620799867,10.182790882437258
2021-05-14,88473,13507,101980,13.244753873308493,10.557881643480533
2021-05-15,79812,9246,89058,10.381998248332547,10.812507069900644
2021-05-16,65983,7922,73905,10.719166497530614,11.489052347933182
2021-05-17,90296,8252,98548,8.373584446158217,12.013865418187933
2021-05-18,96166,4362,100528,4.339089606875697,12.194689309310808
2021-05-19,102917,4747,107664,4.409087531579729,12.253063183395998
2021-05-20,104047,31596,135643,23.293498374409292,10.680168368313513
2021-05-21,99822,11956,111778,10.696201399201989,10.316089443441156
2021-05-22,77867,9414,87281,10.785852591056473,10.373782920973143
2021-05-23,79309,6880,86189,7.982457158106023,9.982824443912488
2021-05-24,104415,6392,110807,5.7685886270722975,9.610682184043071
2021-05-25,97532,3473,101005,3.4384436414038912,9.482018474689955
2021-05-26,108648,2390,111038,2.1524162899187664,9.15963686873839
2021-05-27,93677,40130,133807,29.9909571248141,10.116416690224792
2021-05-28,81209,17805,99014,17.982305532550953,11.157288709274642
2021-05-29,72179,10086,82265,12.260378046556859,11.367935202917556
2021-05-30,60881,6875,67756,10.146702875022138,11.677113162477
2021-05-31,62398,8883,71281,12.461946381223608,12.63330712735576
2021-06-01,86301,7257,93558,7.756685692297825,13.250198848912035
2021-06-02,90385,3958,94343,4.195329807192903,13.542043637094054
2021-06-03,85106,35679,120785,29.53926398145465,13.477516045185563
2021-06-04,70976,18244,89220,20.448329970858552,13.829805250658078
2021-06-05,64505,7462,71967,10.368641182764323,13.559557127259142
2021-06-06,60021,10976,70997,15.459808160908207,14.31857216810001
2021-06-07,79405,14983,94388,15.873839894901895,14.805985527196908
2021-06-08,89455,12084,101539,11.900845980362226,15.398008425491822
2021-06-09,84634,6806,91440,7.443132108486439,15.86198018281947
2021-06-10,87389,38799,126188,30.74698069547025,16.034511141964554
2021-06-11,74034,19612,93646,20.94269910086923,16.105135303394654
2021-06-12,72832,9686,82518,11.738045032598949,16.3007644247996
2021-06-13,66092,7046,73138,9.633842872378244,15.468483669295319
2021-06-14,99819,5653,105472,5.359716322815534,13.966466016140126
2021-06-15,90659,4068,94727,4.294446145238422,12.879837468265295
2021-06-16,97862,3176,101038,3.1433718007086444,12.26558599572561
2021-06-17,87702,37203,124905,29.785036627837158,12.128165414635168
2021-06-18,95956,9749,105705,9.222837141100232,10.453899420382454
2021-06-19,77227,5410,82637,6.546704260803272,9.71227931012593
2021-06-20,68090,5784,73874,7.829547608089451,9.454522843798959
2021-06-21,96544,7121,103665,6.869242270776057,9.67016940779332
2021-06-22,98677,3143,101820,3.08681987821646,9.497651369647325
2021-06-23,96865,3743,100608,3.720380089058524,9.580081125125881
2021-06-24,73423,49264,122687,40.15421356785968,11.061392116557668
2021-06-25,89097,16459,105556,15.59267118875289,11.971368409079476
2021-06-26,85691,8473,94164,8.998130920521644,12.32157221761067
2021-06-27,76988,7033,84021,8.370526416015043,12.398854904457185
